,opcarrier,origin,dest,origin_lat,origin_lng,dest_lat,dest_lng
890,NK,MCO,BWI,28.42888889,-81.31602778,39.17540167,-76.66819833
891,WN,PHX,BOS,33.43416667,-112.0080556,42.3643475,-71.00517917
892,AS,EWR,SAN,40.69249722,-74.16866056,32.73355611,-117.1896567
893,B6,BOS,CLT,42.3643475,-71.00517917,35.21401111,-80.94312583
894,NK,IAH,TPA,29.98047222,-95.33972222,27.97547222,-82.53325
895,F9,DEN,LAS,39.85840806,-104.6670019,36.08036111,-115.1523333
896,WN,LAS,CLT,36.08036111,-115.1523333,35.21401111,-80.94312583
897,OO,DEN,SEA,39.85840806,-104.6670019,47.44898194,-122.3093131
898,OO,SFO,LAX,37.61900194,-122.3748433,33.94253611,-118.4080744
899,WN,SFO,IAD,37.61900194,-122.3748433,38.94453194,-77.45580972
900,EV,IAH,SLC,29.98047222,-95.33972222,40.78838778,-111.9777731
901,B6,FLL,LGA,26.07258333,-80.15275,40.77724306,-73.87260917
902,F9,DFW,MCO,32.89595056,-97.0372,28.42888889,-81.31602778
903,EV,IAH,ATL,29.98047222,-95.33972222,33.64044444,-84.42694444
904,OO,PDX,MSP,45.58872222,-122.5975,44.88054694,-93.2169225
905,OO,SAN,DAL,32.73355611,-117.1896567,32.84711389,-96.85177222
906,AA,MIA,EWR,25.79325,-80.29055556,40.69249722,-74.16866056
907,F9,ATL,SAN,33.64044444,-84.42694444,32.73355611,-117.1896567
908,WN,FLL,DTW,26.07258333,-80.15275,42.21205889,-83.34883583
909,AS,LAX,DAL,33.94253611,-118.4080744,32.84711389,-96.85177222
910,AS,PDX,DAL,45.58872222,-122.5975,32.84711389,-96.85177222
911,AS,SFO,DAL,37.61900194,-122.3748433,32.84711389,-96.85177222
912,AS,SFO,MCO,37.61900194,-122.3748433,28.42888889,-81.31602778
913,AS,DCA,SFO,38.85208333,-77.03772222,37.61900194,-122.3748433
914,AS,SFO,SLC,37.61900194,-122.3748433,40.78838778,-111.9777731
915,AA,PHL,BWI,39.87195278,-75.24114083,39.17540167,-76.66819833
916,AA,LAX,PDX,33.94253611,-118.4080744,45.58872222,-122.5975
917,B6,LAS,JFK,36.08036111,-115.1523333,40.63975111,-73.77892556
918,OO,DTW,DFW,42.21205889,-83.34883583,32.89595056,-97.0372
919,UA,MCO,SAN,28.42888889,-81.31602778,32.73355611,-117.1896567
920,OO,ORD,PDX,41.979595,-87.90446417,45.58872222,-122.5975
921,F9,DEN,BOS,39.85840806,-104.6670019,42.3643475,-71.00517917
922,MQ,BOS,JFK,42.3643475,-71.00517917,40.63975111,-73.77892556
